name,website,description,location,batch,industries
Flock Safety,https://www.flocksafety.com/,Provides the first public safety operating system.,"Atlanta, GA, USA",S2017,"hardware, saas, machine-learning"
Deel,https://www.deel.com/,All-in-one payroll and HR platform.,"San Francisco, CA, USA",W2019,"hr-tech, b2b, saas, payroll, fintech"
Podium,https://www.podium.com/,AI-powered lead management and communication platform.,"Lehi, UT, USA",W2016,"ai, saas, b2b, fintech"
Algolia,https://www.algolia.com/,Leading Search & Discovery API for websites and mobile apps.,"San Francisco, CA, USA",W2014,"developer-tools, saas, b2b"
Weave,https://www.getweave.com/,"Threads together data, software, and communication platforms.","Lehi, UT, USA",W2014,saas
Flexport,https://www.flexport.com/,Platform for global logistics.,"San Francisco, CA, USA",W2014,"supply-chain, saas, logistics"
Webflow,https://webflow.com/,No-code visual web development platform.,"San Francisco, CA, USA",S2013,"saas, marketing, design"
Fivetran,https://fivetran.com/,Automates data movement across cloud data platforms.,"Oakland, CA, USA",W2013,"data-engineering, saas, analytics, b2b"
Benchling,https://www.benchling.com/,R&D Cloud to power biotechnology development.,"San Francisco, CA, USA",S2012,"b2b, saas, biotech"
Zapier,https://zapier.com/,"Workflow automation platform connecting over 6,000 apps.","Mountain View, CA, USA",S2012,"saas, b2b, automation"
Stripe,https://stripe.com/,Builds economic infrastructure for the internet.,"San Francisco, CA, USA",S2009,"fintech, banking-as-a-service, saas"
Ashr,,Test and evals platform that improves AI agents.,"San Francisco, CA, USA",W2026,"developer-tools, data-engineering, devops, artificial-intelligence, saas"
End Close,,Automatic reconciliation for payments companies.,"San Francisco, CA, USA",W2026,"ai, payments, b2b, saas, fintech"
Proximitty,,AI-native loan management system.,"San Francisco, CA, USA",W2026,"finops, lending, b2b, fintech, saas"
Wideframe,,AI agent that speeds up video work.,"San Francisco, CA, USA",W2026,"artificial-intelligence, saas"
Polymorph,,Helps products feel 1:1 at scale.,,W2026,"marketing, analytics, artificial-intelligence, saas, b2b"
Sponge,,Platform for agents to hold and spend money.,,W2026,"payments, crypto-web3, fintech, artificial-intelligence, saas"
Canary,,AI QA engineer that reads source code.,"San Francisco, CA, USA",W2026,"b2b, saas, artificial-intelligence, developer-tools"
Crosslayer Labs,,Detects impersonation attacks on websites and APIs.,"San Francisco, CA, USA",W2026,"saas, b2b, cybersecurity"
Maven,,Enables AI agents to collect payments over the phone.,"San Francisco, CA, USA",W2026,"infrastructure, conversational-ai, saas, developer-tools, fintech"
